
id,artist,title,title_jp,year,medium,height,width,institution,accession_number,right
001,"Leonardo AI","untitled #001",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
002,"Leonardo AI","untitled #002",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
003,"Leonardo AI","untitled #003",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
004,"Leonardo AI","untitled #004",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
005,"Leonardo AI","untitled #005",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
006,"Leonardo AI","untitled #006",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
007,"Leonardo AI","untitled #007",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
008,"Leonardo AI","untitled #008",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
009,"Leonardo AI","untitled #009",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
010,"Leonardo AI","untitled #010",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
011,"Leonardo AI","untitled #011",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
012,"Leonardo AI","untitled #012",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
013,"Leonardo AI","untitled #013",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
014,"Leonardo AI","untitled #014",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
015,"Leonardo AI","untitled #015",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
016,"Leonardo AI","untitled #016",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
017,"Leonardo AI","untitled #017",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
018,"Leonardo AI","untitled #018",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
019,"Leonardo AI","untitled #019",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
020,"Leonardo AI","untitled #020",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
021,"Leonardo AI","untitled #021",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
022,"Leonardo AI","untitled #022",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
023,"Leonardo AI","untitled #023",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
024,"Leonardo AI","untitled #024",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
025,"Leonardo AI","untitled #025",,2026,"AI-generated",,,"local","N/A","Leonardo-ToS"
